ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path,day
214,c829fa4183f082b4,02/20/2021,yes,1613782013405,1613785408995,2021-02-20 08:46:53,2021-02-20 09:43:28,L10_R2_LL,L9_CG_garden_zone_2,3395,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_CLL', 'L6_CCC_walkway', 'L6_ST_1', 'L6_CCC_walkway', 'L6_SLL_corridor', 'L6_SLL', 'L7_SLL', 'L8_SLL', 'L9_SLL', 'L9_SLL_corridor', 'L9_CG_sitting_area', 'L9_CG_entrance', 'L9_CG_garden_zone_1', 'L9_CG_garden_zone_2']",weekend
215,c829fa4183f082b4,02/20/2021,yes,1613786514064,1613788759019,2021-02-20 10:01:54,2021-02-20 10:39:19,L9_CG_entrance,L9_R2_LL,2244,"['L9_CG_entrance', 'L9_CG_garden_zone_1', 'L9_CG_entrance', 'L9_CG_steps_zone_1', 'L9_CG_steps_zone_2', 'L9_CG_steps_zone_1', 'L9_CG_entrance', 'L9_CG_sitting_area', 'L9_SLL_corridor', 'L9_SLL', 'L8_SLL', 'L7_SLL', 'L6_SLL', 'L6_SLL_corridor', 'L6_CCC_walkway', 'L6_ST_1', 'L6_CCC_walkway', 'L6_CLL', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_ST_5', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL']",weekend
216,c829fa4183f082b4,02/20/2021,yes,1613796280928,1613797824089,2021-02-20 12:44:40,2021-02-20 13:10:24,L10_R2_LL,L2_FC_zone_5,1543,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_9_walkway', 'L2_FC_zone_9', 'L2_FC_zone_9_walkway', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5']",weekend
217,c829fa4183f082b4,02/20/2021,yes,1613798971723,1613799938425,2021-02-20 13:29:31,2021-02-20 13:45:38,L2_FC_zone_8,L10_R2_LL,966,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L3_CLL', 'L4_CLL', 'L6_CLL', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_ST_5', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL']",weekend
218,c829fa4183f082b4,02/20/2021,yes,1613813864386,1613814374717,2021-02-20 17:37:44,2021-02-20 17:46:14,L10_R2_LL,L1_Entrance_7,510,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_Entrance_7']",weekend
219,c829fa4183f082b4,02/20/2021,yes,1613816812452,1613816878814,2021-02-20 18:26:52,2021-02-20 18:27:58,L1_R2_LL,L10_R2_LL,66,"['L1_R2_LL', 'L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL']",weekend
220,c829fa4183f082b4,02/07/2021,yes,1612655313615,1612655519512,2021-02-07 07:48:33,2021-02-07 07:51:59,L10_R2_LL,B1_Supermarket_entrance_1,205,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L1_R2_LL', 'B1_R2_LL', 'B1_Carpark_zone_4', 'B1_Carpark_zone_3', 'B1_Carpark_zone_2', 'B1_Supermarket_entrance_2', 'B1_CLL', 'B1_Posb_bank', 'B1_Supermarket_entrance_1']",weekend
221,c829fa4183f082b4,02/07/2021,yes,1612655838466,1612655998780,2021-02-07 07:57:18,2021-02-07 07:59:58,B1_Supermarket_entrance_2,L10_R2_LL,160,"['B1_Supermarket_entrance_2', 'B1_Carpark_zone_2', 'B1_Carpark_zone_3', 'B1_Carpark_zone_4', 'B1_R2_LL', 'L1_R2_LL', 'L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL']",weekend
222,c829fa4183f082b4,02/07/2021,yes,1612659710137,1612663960449,2021-02-07 09:01:50,2021-02-07 10:12:40,L9_R2_LL,L9_CG_garden_zone_2,4250,"['L9_R2_LL', 'L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_SLL_corridor', 'L6_SLL', 'L7_SLL', 'L8_SLL', 'L9_SLL', 'L9_SLL_corridor', 'L9_CG_sitting_area', 'L9_CG_entrance', 'L9_CG_steps_zone_1', 'L9_CG_steps_zone_2', 'L9_CG_steps_zone_1', 'L9_CG_entrance', 'L9_CG_garden_zone_1', 'L9_CG_garden_zone_2']",weekend
223,c829fa4183f082b4,02/07/2021,yes,1612664323696,1612665845739,2021-02-07 10:18:43,2021-02-07 10:44:05,L9_CG_garden_zone_3,L9_R2_LL,1522,"['L9_CG_garden_zone_3', 'L9_CG_garden_zone_2', 'L9_CG_garden_zone_1', 'L9_CG_entrance', 'L9_CG_sitting_area', 'L9_SLL_corridor', 'L9_SLL', 'L8_SLL', 'L7_SLL', 'L6_SLL', 'L6_SLL_corridor', 'L6_CCC_walkway', 'L6_ST_1', 'L6_CCC_walkway', 'L6_CLL', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL', 'L9_R2_LL']",weekend
