ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path
90,65b0de4f9a16a5f2,02/02/2021,yes,1612247071258,1612247164457,2021-02-02 01:24:31,2021-02-02 01:26:04,L1_Entrance_7,L4_R2_LL,93,"['L1_Entrance_7', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_R2_LL', 'L4_R2_LL']"
91,65b0de4f9a16a5f2,02/02/2021,yes,1612259093658,1612259203251,2021-02-02 04:44:53,2021-02-02 04:46:43,L4_R2_LL,L1_Entrance_7,109,"['L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_Entrance_7']"
92,65b0de4f9a16a5f2,02/02/2021,yes,1612261397243,1612261743967,2021-02-02 05:23:17,2021-02-02 05:29:03,L1_Entrance_8,L4_R2_LL,346,"['L1_Entrance_8', 'L1_ELL', 'L2_ELL_2', 'L6_ELL', 'L6_ELL_corridor', 'L6_AAH_walkway', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL']"
93,6c20e27e2bd7c81d,02/09/2021,yes,1612866058172,1612866368348,2021-02-09 05:20:58,2021-02-09 05:26:08,L2_FC_zone_9,L9_R1_LL,310,"['L2_FC_zone_9', 'L2_FC_zone_9_walkway', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L3_CLL', 'L4_CLL', 'L6_CLL', 'L6_AAH_walkway', 'L6_ST_5', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_Deck_3', 'L6_Link_bridge', 'L6_Deck_2', 'L6_R1_LL_corridor', 'L6_R1_LL', 'L7_R1_LL', 'L8_R1_LL', 'L9_R1_LL']"
94,71fc05b14b631bec,02/23/2021,yes,1614058748243,1614059784419,2021-02-23 00:39:08,2021-02-23 00:56:24,B1_Supermarket_entrance_1,L8_RG_zone_2,1036,"['B1_Supermarket_entrance_1', 'L1_Shop_walkway_3', 'L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'L2_FC_zone_11', 'L2_FC_zone_9_walkway', 'L2_FC_zone_9', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L3_CLL', 'L4_CLL', 'L6_CLL', 'L6_CCC_walkway', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL', 'L7_CLL', 'L8_CLL', 'L8_RG_zone_2']"
95,71fc05b14b631bec,02/23/2021,yes,1614084001393,1614084166775,2021-02-23 07:40:01,2021-02-23 07:42:46,L10_R2_LL,L1_PG,165,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_PG']"
96,71fc05b14b631bec,02/23/2021,yes,1614084921724,1614085367550,2021-02-23 07:55:21,2021-02-23 08:02:47,L1_PG,L10_R2_LL,445,"['L1_PG', 'L1_Thoroughfare', 'L1_Entrance_6', 'L1_R2_LL', 'L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL']"
97,71fc05b14b631bec,02/24/2021,yes,1614119758677,1614120014008,2021-02-23 17:35:58,2021-02-23 17:40:14,L10_R2_LL,L1_Entrance_7,255,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_Entrance_7']"
98,71fc05b14b631bec,02/24/2021,yes,1614146115301,1614146758254,2021-02-24 00:55:15,2021-02-24 01:05:58,L1_Entrance_7,L9_R2_LL,642,"['L1_Entrance_7', 'L1_Thoroughfare', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_Fish_pond', 'L1_CP_zone_4', 'L1_R2_LL', 'L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL']"
99,71fc05b14b631bec,02/24/2021,yes,1614154020726,1614154199981,2021-02-24 03:07:00,2021-02-24 03:09:59,L10_R2_LL,L1_PG,179,"['L10_R2_LL', 'L11_R2_LL', 'L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_Entrance_4', 'L1_Entrance_5', 'L1_PG']"
